folder_name,seed,max_steps,game,final_global_step,final_expl0,final_expl1,final_avg_exploitability,algorithm_name_config,alpha_config,anneal_lr_config,beta_config,clip_coef_config,clip_vloss_config,cuda_config,ent_coef_config,eval_every_config,gae_config,gae_lambda_config,gamma_config,iem_lr_config,learning_rate_config,max_grad_norm_config,norm_adv_config,num_envs_config,num_minibatches_config,num_steps_config,policy_head_config,target_kl_config,tsallis_q_config,update_epochs_config,vf_coef_config
2026-02-26_08-59-05-669270_a9f404_seed5_shannon,5,3000000,classical_phantom_ttt,3000320.0,0.2152599742324611,0.2430860037918533,0.2291729890121572,iem_ppo,0.7,True,10.0,0.1,True,True,0.2,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-26_09-14-35-982552_3bfd3c_seed6_shannon,6,3000000,classical_phantom_ttt,3000320.0,0.2151262000458437,0.2121222496374843,0.213624224841664,iem_ppo,0.7,True,10.0,0.1,True,True,0.2,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-26_10-43-57-820769_39c7e3_tsallis_sweeo,4,3000000,classical_phantom_ttt,3000320.0,0.1918216219715581,0.18740337922316,0.18961250059735907,iem_ppo,0.7,True,10.0,0.1,True,True,0.3,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-26_13-04-08-131383_7ea5f2,4,3000000,classical_phantom_ttt,3000320.0,0.2303595691020528,0.1743330683451585,0.20234631872360564,iem_ppo,0.7,True,1.0,0.1,True,True,0.3,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-26_13-20-40-005438_942d94,4,3000000,classical_phantom_ttt,3000320.0,0.2706119367280315,0.331261021577574,0.30093647915280275,iem_ppo,0.7,True,10.0,0.1,True,True,0.5,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-26_13-38-42-154929_f28d77,4,3000000,classical_phantom_ttt,3000320.0,0.2645523193968753,0.2461685504279921,0.2553604349124337,iem_ppo,0.7,True,10.0,0.1,True,True,0.4,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-26_13-55-44-476611_f629de,4,3000000,classical_phantom_ttt,3000320.0,0.3699867836699447,0.2002471629883763,0.28511697332916053,iem_ppo,0.7,True,10.0,0.1,True,True,0.25,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-26_14-14-08-107195_e6f018,4,3000000,classical_phantom_ttt,3000320.0,0.1741248165864229,0.1919893885474559,0.1830571025669394,iem_ppo,0.7,True,5.0,0.1,True,True,0.3,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-26_17-03-55-241120_2dd333,4,3000000,classical_phantom_ttt,3000320.0,0.1960653945273175,0.1522762560568525,0.174170825292085,iem_ppo,0.7,True,3.0,0.1,True,True,0.3,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
2026-02-26_20-17-40-812165_f09308,4,3000000,classical_phantom_ttt,3000320.0,0.1941366379655912,0.1960741732996054,0.1951054056325983,iem_ppo,0.7,True,2.0,0.1,True,True,0.3,100,True,0.95,0.99,0.0005,0.00025,0.5,True,8,4,128,,,,4,0.5
